Model,Accuracy,Sensitivity,Specificity,Precision,F1-Score,Balanced_Accuracy,TP,TN,FP,FN
OC_XGB_Candid,0.675392670157068,0.4,0.9479166666666666,0.8837209302325582,0.5507246376811594,0.6739583333333333,38,91,5,57
OC_Mod_Candid,0.418848167539267,0.031578947368421054,0.8020833333333334,0.13636363636363635,0.05128205128205128,0.4168311403508772,3,77,19,92
