Feature,Importance
tsfc,0.13525747
P90cl_Tx_Obs,0.12598053
Tx_Mod,0.12288832
sem_prev,0.11440021
ur2m,0.11070954
magv,0.10979001
P90cl_Tx_Mod,0.09763174
Cl_Tx_Mod,0.09225491
Cl_Tx_Obs,0.091087334
OC_Mod_Candid,0.0
