Feature,Importance
tsfc,0.14025679
P90cl_Tx_Obs,0.1383618
ur2m,0.11824195
magv,0.11738469
Tx_Mod,0.10969673
Cl_Tx_Obs,0.10721622
Cl_Tx_Mod,0.103162535
P90cl_Tx_Mod,0.08359377
sem_prev,0.08208558
OC_Mod_Candid,0.0
IOC_Mod,0.0
