Tx_Obs,Tx_Mod,RF_Pred,XGB_Pred,NN_Pred
31.76419,29.339783,27.969877754356677,27.519966,27.48652626816821
33.843597,29.64743,27.54831375167472,25.791399,28.984420289830485
32.947968,28.769012,26.82230357829928,28.073992,28.398242420482227
31.76419,29.77774,28.010036333960574,27.400057,25.957321697291437
33.843597,32.73294,26.85147515299541,27.445498,28.450812544000037
32.947968,31.877533,27.024582517942108,25.11133,31.678432333713207
34.482666,30.511475,26.64580791530082,26.432356,27.846277926642333
32.017853,29.991241,26.785120139408313,25.343204,27.0628344415247
36.0213,32.730072,26.664711410420797,27.495026,27.772575673462846
34.799896,31.002838,26.064084483833867,26.06926,26.007448219827992
37.46353,30.841461,26.005875900240877,26.245255,28.9922909939364
30.485138,25.982727,28.965107135210975,29.795237,28.800243084828367
35.13941845704177,32.05585037603627,26.871394178465863,26.258646,24.544037519952273
31.86379303948191,29.29175834803981,27.53400303052334,26.774113,27.282542387671597
35.37422800944406,32.287398267347534,26.11383323611551,26.236307,26.50323466868938
31.41462091617615,28.4136063756523,26.949552522452635,27.442139,27.386424113676693
33.86362544689669,32.73291362285596,26.910301204391534,27.445498,23.383058035538337
33.03884885646556,28.858146429741293,26.60849805793279,27.86463,28.043776326480224
37.44520740560281,30.85103487955186,26.00674682524087,26.245255,29.012130105087845
34.53367913815117,30.590490126568657,27.003699598286165,26.974537,27.066308948948688
33.544453997570784,30.54633845512187,26.666464234091617,26.468567,25.83199730279893
34.28576577209427,31.195919034657603,26.609292424647496,26.589108,25.372349911810364
34.26024523014907,31.28463088065905,26.670535724647497,26.614632,25.14626349366685
32.22644924876891,30.414278404280974,26.939515161391977,25.669424,26.36020469344897
36.69688078807482,30.8879086537966,26.17452406306003,25.734186,28.074768000142274
37.12136224853949,31.289532236386417,26.396383392918423,25.812487,28.492744700455393
36.60420295236589,30.615043112624075,26.71971342208951,26.86447,28.332563337210107
32.54644535659138,31.063236972002876,26.636270982858473,26.132431,25.667476360695257
30.859605507286297,26.406956417451937,29.054148654192087,28.666779,28.00569296816858
34.74991349064158,30.94254827548044,26.058152474552333,25.75378,25.927327211348704
34.699647094299976,30.85920955616219,26.391175755397686,25.719433,28.713219688511654
33.65982405297971,32.55742015272865,26.631674569143357,25.819517,28.91442205954074
35.66310960035556,30.247594270917485,26.787205600283556,25.919117,28.027724015087433
32.45399127153634,28.21321552084679,27.421292868218583,28.157106,28.40265415029901
32.79949795377112,30.525978547513905,26.898254599836523,25.614208,25.62929495351932
35.67836351342529,32.24511242933183,25.959370623282563,26.334875,27.258659589554345
33.866850334382434,29.680388055428924,27.604976889103565,25.883749,28.54793678856343
35.74879148690121,32.33713477799956,26.03094262483978,26.52403,26.66661725418587
35.89163648052109,32.54652713138684,25.987385685503817,26.296427,27.767506807221345
35.87970722141651,32.69079431510921,26.689202924020073,27.760921,27.313065948877473
32.50978227412901,28.9802878515035,26.93783326601026,29.118254,27.219101810121206
32.92967079739869,28.7778341884728,26.795110128299278,28.073992,28.24054064536324
32.441093025273226,29.013407094519224,27.46547535591729,28.764433,27.102729557957037
33.77425879730314,29.637171455114327,27.635658823243347,25.883749,28.940412861056355
34.33723583977365,30.346719044003,26.831249601289052,26.451998,27.72711244303535
32.77396382717424,31.50450774561229,26.88789623953521,26.15693,25.8807866300526
33.493266147792646,29.42675959077624,26.790089626327628,26.18817,26.821121107964558
35.196413423100864,30.978814882639377,26.13947894268498,26.01915,26.474958221380046
32.423199835976,29.437283104120315,27.811385139145457,27.797401,27.4661812842685
32.134418038004604,30.16628539183816,26.618286973823746,24.983444,26.587646652479588
34.48000183670711,31.675641857707717,26.628778578433266,26.934988,25.726729900275576
35.999640239533605,32.69941158059311,26.49037728436956,27.760921,27.746908677444196
31.79529591445554,29.80392097177031,27.689664413770934,26.956305,25.730012209137772
35.986082213911246,30.452178936371897,27.030716131578576,26.917702,27.313865132478792
32.57297987729906,29.99603784063572,26.444300577774637,26.165312,26.27457737135832
35.46817469203414,31.932506010377303,26.45264316747598,26.97783,26.258374629362187
34.48295284003032,30.552468549987186,26.815095118907767,25.540173,28.48049980771813
33.11870967767994,32.040606802075594,26.64265506569123,24.983091,30.834239873313443
33.87674006858747,31.43885920461858,26.126081247723747,26.152908,24.94519621814251
32.51501766504537,30.0961747058654,26.54149095751723,25.994726,26.865298684984484
36.31581393835917,32.344403789216386,25.84328319012466,26.9697,27.481543453016915
32.049491538666565,29.496080134962057,27.524600186790526,26.99712,26.7204819001412
31.22478837090144,28.177307652722316,28.958090246418827,29.3179,27.154245935012984
33.17760869723281,30.11409811204528,26.796502264850698,25.412516,25.646727838435066
33.848850965113854,31.243860052479214,26.429226463445442,26.383669,25.584156486341712
34.2418627895429,29.36285413143201,27.48741009952672,29.232775,27.148588994866067
32.010116215099714,29.98472916613776,26.468081376170225,26.070955,27.585515547549257
34.18804695019095,32.10977345091309,26.35524479415524,26.198864,24.041364962000948
32.79755656045398,28.841534455866828,26.588917872827743,28.279734,27.95358004929563
36.19096090375282,30.918559949422136,26.229952761011376,26.044567,27.53105824732555
35.55130590095704,32.73069097470686,26.454599968820688,28.274837,26.297346045377623
33.956144439234045,32.73279177682369,26.9155541773066,26.922783,23.374524068293077
33.93199852013074,31.4127597605405,26.107252368516193,26.152908,24.982699163416974
33.521923155629544,30.538145867115414,26.695973714091615,26.468567,25.846342909776585
32.19339250606426,29.132838502308037,27.01050019589888,27.700233,26.76788969437169
32.98502776535301,31.844545539966436,26.89282055380851,24.960705,25.65497470211807
34.53473038204521,32.317699182640354,25.868928322624253,26.732288,24.396355230110466
31.878617025275023,27.604004342333557,28.057375796008035,28.694588,26.62696477558111
35.706166515601744,32.27567270615526,26.142791573489845,27.245249,26.536128164484882
33.30775508290799,29.74648583341073,26.90120328762386,27.019457,26.779679569329932
32.11934335767439,30.0606724019393,26.82504776750001,24.665445,26.827291445973
35.93995934058936,32.61493043431959,26.056387642569415,27.760921,27.823601337199282
34.092189912821,30.17943999876465,26.47147935089859,27.00033,25.51738960995746
33.717047506701995,29.76023913420385,26.319598614761457,25.770744,27.333411930227943
34.21665284313772,31.49548001532373,26.46058561092163,26.725973,25.599808083673153
