Feature,Importance
ur2m,0.21866742604543318
magv,0.1815894380932769
tsfc,0.16538979013054875
Tx_Mod,0.16226468974609548
Cl_Tx_Obs,0.0713375923819868
P90cl_Tx_Obs,0.06762527441987466
P90cl_Tx_Mod,0.0535744903217165
Cl_Tx_Mod,0.038994093038462435
OC_Mod_Candid,0.020636866530721033
sem_prev,0.01992033929188422
