data_prev,Tx_Mod,P90cl_Tx_Mod,Tx_Obs,P90cl_Tx_Obs,OC_Mod_Candid,IOC_Mod,OC_Obs_Candid,IOC_Obs
20151129,26.52692,32.74563,28.77359,30.60831,0,0,0,0
20151130,29.77603,31.71116,24.45389,30.54123,0,0,0,0
20161101,28.42032,33.4183,29.93808,29.93808,0,0,1,0
20161102,23.62418,31.44449,31.97385,29.56668,0,0,1,0
20161103,22.58618,31.84183,30.17822,31.04578,0,0,0,0
20161104,27.63577,31.14221,23.18973,31.09802,0,0,0,0
20161105,31.61478,30.55637,22.69159,29.25061,1,0,0,0
20161106,27.59836,29.3045,25.5499,26.00964,0,0,0,0
20161107,23.98868,30.82645,27.4968,27.4968,0,0,1,0
20161108,24.91855,31.51755,28.13089,28.68063,0,0,0,0
20161109,27.29288,30.35251,29.55286,29.55286,0,0,1,0
20161110,30.67996,30.67996,31.87833,30.86642,1,0,1,0
20161111,25.76361,30.06638,28.52072,31.76419,0,0,0,0
20161112,28.94138,30.17719,25.61124,33.8436,0,0,0,0
20161113,33.93503,28.76901,23.11578,30.9917,1,1,0,0
20171101,32.57016,33.4183,23.9693,29.93808,0,0,0,0
20171102,30.21109,31.44449,25.19766,29.56668,0,0,0,0
20171103,27.82138,31.84183,29.04556,31.04578,0,0,0,0
20171104,27.73856,31.14221,32.06049,31.09802,0,0,1,0
20171105,28.18784,30.55637,27.93744,29.25061,0,0,0,0
20171106,29.3045,29.3045,23.09537,26.00964,1,0,0,0
20171107,29.33096,30.82645,23.85199,27.4968,0,0,0,0
20171108,29.28665,31.51755,25.66211,28.68063,0,0,0,0
20171109,29.89316,30.35251,27.28775,29.55286,0,0,0,0
20171110,29.42673,30.67996,30.86642,30.86642,0,0,1,0
20171111,28.3411,30.06638,27.39511,31.76419,0,0,0,0
20171112,27.99423,30.17719,29.17026,33.8436,0,0,0,0
20171113,28.42111,28.76901,26.99985,30.9917,0,0,0,0
20181101,23.54971,33.4183,28.37338,29.93808,0,0,0,0
20181102,24.59033,31.44449,25.47214,29.56668,0,0,0,0
20181103,26.5593,31.84183,31.55899,31.04578,0,0,1,0
20181104,25.84906,31.14221,26.01798,31.09802,0,0,0,0
20181105,27.10294,30.55637,22.95392,29.25061,0,0,0,0
20181106,28.7471,29.3045,24.56278,26.00964,0,0,0,0
20181107,29.72586,30.82645,26.35538,27.4968,0,0,0,0
20181108,23.64362,31.51755,23.23712,28.68063,0,0,0,0
20181109,24.98538,30.35251,23.26553,29.55286,0,0,0,0
20181110,26.42224,30.67996,26.71726,30.86642,0,0,0,0
20181111,26.39035,30.06638,27.55688,31.76419,0,0,0,0
20181112,25.53043,30.17719,27.61887,33.8436,0,0,0,0
20181113,24.16647,28.76901,29.53989,30.9917,0,0,0,0
20181101,29.24753,33.47324,28.37338,29.93808,0,0,0,0
20181102,26.0423,31.72999,25.47214,29.56668,0,0,0,0
20181103,22.60556,29.47561,31.55899,31.04578,0,0,1,0
20181104,22.60336,28.64292,26.01798,31.09802,0,0,0,0
20181105,24.35294,29.11224,22.95392,29.25061,0,0,0,0
20181106,24.3396,34.33541,24.56278,26.00964,0,0,0,0
20181107,25.92938,32.3113,26.35538,27.4968,0,0,0,0
20181108,24.99643,30.50456,23.23712,28.68063,0,0,0,0
20181109,26.1824,30.7088,23.26553,29.55286,0,0,0,0
20181110,25.1651,30.47737,26.71726,30.86642,0,0,0,0
20181111,23.07559,29.84163,27.55688,31.76419,0,0,0,0
20181112,23.87436,30.10089,27.61887,33.8436,0,0,0,0
20181113,24.05798,29.85751,29.53989,30.9917,0,0,0,0
20181114,23.7749,31.11983,31.88132,32.62369,0,0,0,0
20181115,25.32495,30.09393,30.92581,30.92581,0,0,1,0
20181116,26.14923,32.85398,25.37735,33.84396,0,0,0,0
20181117,26.55356,31.40659,25.84299,30.40292,0,0,0,0
20181118,28.59857,31.21523,32.4205,32.42886,0,0,0,0
20181119,28.25626,31.21746,27.9932,30.48514,0,0,0,0
20181120,30.30984,30.502,21.80319,30.51505,0,0,0,0
20181121,26.03162,29.38523,23.0914,30.41208,0,0,0,0
20181122,26.20254,31.82162,29.04514,32.47794,0,0,0,0
20181123,26.09836,32.28058,30.41776,30.41776,0,0,1,0
20181124,25.03357,31.33324,28.87186,26.7998,0,0,1,0
20181125,28.43344,29.71567,28.18924,29.03455,0,0,0,0
20181126,26.15433,28.50792,24.87143,29.98764,0,0,0,0
20181127,31.16538,31.3216,24.70499,29.71011,0,0,0,0
20181128,31.90945,31.45726,26.66495,30.43436,1,1,0,0
20181129,34.18466,32.74563,28.41913,30.60831,1,1,0,0
20181130,31.73489,31.71116,29.69699,30.54123,1,1,0,0
20191101,26.68124,33.4183,27.5304,29.93808,0,0,0,0
20191102,24.6171,31.44449,28.18356,29.56668,0,0,0,0
20191103,26.20816,31.84183,31.04578,31.04578,0,0,1,0
20191104,25.6142,31.14221,29.22519,31.09802,0,0,0,0
20191105,26.30698,30.55637,34.5018,29.25061,0,0,1,0
20191106,26.84543,29.3045,25.62125,26.00964,0,0,0,0
20191107,26.93124,30.82645,25.23669,27.4968,0,0,0,0
20191108,26.9805,31.51755,26.22717,28.68063,0,0,0,0
20191109,26.17087,30.35251,25.83777,29.55286,0,0,0,0
20191110,26.2067,30.67996,26.81979,30.86642,0,0,0,0
20191111,25.7608,30.06638,25.26077,31.76419,0,0,0,0
20191112,25.44492,30.17719,23.94101,33.8436,0,0,0,0
20191113,24.63004,28.76901,25.35959,30.9917,0,0,0,0
20191101,29.79681,33.47324,27.5304,29.93808,0,0,0,0
20191102,26.06674,31.72999,28.18356,29.56668,0,0,0,0
20191103,25.2442,29.47561,31.04578,31.04578,0,0,1,0
20191104,25.65927,28.64292,29.22519,31.09802,0,0,0,0
20191105,29.03064,29.11224,34.5018,29.25061,0,0,1,0
20191106,28.36691,34.33541,25.62125,26.00964,0,0,0,0
20191107,28.60657,32.3113,25.23669,27.4968,0,0,0,0
20191108,32.87067,30.50456,26.22717,28.68063,1,0,0,0
20191109,29.42877,30.7088,25.83777,29.55286,0,0,0,0
20191110,29.34216,30.47737,26.81979,30.86642,0,0,0,0
20191111,27.7966,29.84163,25.26077,31.76419,0,0,0,0
20191112,28.97287,30.10089,23.94101,33.8436,0,0,0,0
20191113,28.99179,29.85751,25.35959,30.9917,0,0,0,0
20191114,26.51938,31.11983,24.9783,32.62369,0,0,0,0
20191115,26.92166,30.09393,26.36282,30.92581,0,0,0,0
20191116,31.84024,32.85398,24.99362,33.84396,0,0,0,0
20191117,32.34866,31.40659,24.50168,30.40292,1,0,0,0
